Task for: 20
Total number of subfolders detected: 1294 in parent folder: /nfs/ssd8/data/laion400m/laion400m-data-20-img/i20
First subfolder: /nfs/ssd8/data/laion400m/laion400m-data-20-img/i20/01184/
Take number of dataset folders as output partition for multiple dataset folders: 1294
--------------Starting the worker-------------
Total number of tasks: 1294
Total number of partitions: 1294
Total number of datasets: 1294
------------------------------
Starting work on task 0
warming up with batch size 1024 on cuda
done warming up in 15.185197353363037s
------------------------------
Starting work on task 1
------------------------------
Starting work on task 2

 sample_per_sec 15 ; sample_count 1024 
 sample_per_sec 14 ; sample_count 1024 
 sample_per_sec 27 ; sample_count 2048 
 sample_per_sec 25 ; sample_count 2048 
 sample_per_sec 59 ; sample_count 5120 
 sample_per_sec 90 ; sample_count 8192 
 sample_per_sec 99 ; sample_count 9522 
 sample_per_sec 94 ; sample_count 9522 
 sample_per_sec 89 ; sample_count 9522 
 sample_per_sec 85 ; sample_count 9522 
 sample_per_sec 82 ; sample_count 9522 
 sample_per_sec 78 ; sample_count 9522 
 sample_per_sec 75 ; sample_count 9522 
 sample_per_sec 72 ; sample_count 9522 
 sample_per_sec 70 ; sample_count 9522 
 sample_per_sec 67 ; sample_count 9522 
 sample_per_sec 65 ; sample_count 9522 
 sample_per_sec 63 ; sample_count 9522 
 sample_per_sec 61 ; sample_count 9522 
 sample_per_sec 59 ; sample_count 9522 
 sample_per_sec 57 ; sample_count 9522 
 sample_per_sec 55 ; sample_count 9522 
 sample_per_sec 54 ; sample_count 9522 
 sample_per_sec 52 ; sample_count 9522 
 sample_per_sec 51 ; sample_count 9522 
 sample_per_sec 49 ; sample_count 9522 
 sample_per_sec 48 ; sample_count 9522 
 sample_per_sec 47 ; sample_count 9522 
 sample_per_sec 46 ; sample_count 9522 
 sample_per_sec 45 ; sample_count 9522 
 sample_per_sec 44 ; sample_count 9522 
 sample_per_sec 43 ; sample_count 9522 
 sample_per_sec 42 ; sample_count 9522 
 sample_per_sec 41 ; sample_count 9522 
 sample_per_sec 40 ; sample_count 9522 
 sample_per_sec 39 ; sample_count 9522 
 sample_per_sec 38 ; sample_count 9522 
 sample_per_sec 37 ; sample_count 9522 
 sample_per_sec 37 ; sample_count 9522 
 sample_per_sec 36 ; sample_count 9522 
 sample_per_sec 35 ; sample_count 9522 
 sample_per_sec 35 ; sample_count 9522 
 sample_per_sec 34 ; sample_count 9522 
 sample_per_sec 33 ; sample_count 9522 
 sample_per_sec 33 ; sample_count 9522 
 sample_per_sec 32 ; sample_count 9522 
 sample_per_sec 32 ; sample_count 9522 
 sample_per_sec 31 ; sample_count 9522 
 sample_per_sec 31 ; sample_count 9522 
 sample_per_sec 30 ; sample_count 9522 
 sample_per_sec 30 ; sample_count 9522 
 sample_per_sec 29 ; sample_count 9522 
 sample_per_sec 29 ; sample_count 9522 
 sample_per_sec 28 ; sample_count 9522 
 sample_per_sec 28 ; sample_count 9522 
 sample_per_sec 27 ; sample_count 9522 
 sample_per_sec 27 ; sample_count 9522 
 sample_per_sec 27 ; sample_count 9522 
 sample_per_sec 26 ; sample_count 9522 
 sample_per_sec 26 ; sample_count 9522 
 sample_per_sec 25 ; sample_count 9522 
 sample_per_sec 25 ; sample_count 9522 
 sample_per_sec 25 ; sample_count 9522 
 sample_per_sec 24 ; sample_count 9522 
 sample_per_sec 24 ; sample_count 9522 
 sample_per_sec 24 ; sample_count 9522 
 sample_per_sec 24 ; sample_count 9522 
 sample_per_sec 23 ; sample_count 9522 
 sample_per_sec 23 ; sample_count 9522 
 sample_per_sec 23 ; sample_count 9522 
 sample_per_sec 22 ; sample_count 9522 
 sample_per_sec 22 ; sample_count 9522 
 sample_per_sec 22 ; sample_count 9522 
 sample_per_sec 22 ; sample_count 9522 
 sample_per_sec 21 ; sample_count 9522 
 sample_per_sec 21 ; sample_count 9522 
 sample_per_sec 21 ; sample_count 9522 
 sample_per_sec 21 ; sample_count 9522 
 sample_per_sec 20 ; sample_count 9522 
 sample_per_sec 20 ; sample_count 9522 
 sample_per_sec 20 ; sample_count 9522 
 sample_per_sec 20 ; sample_count 9522 
 sample_per_sec 19 ; sample_count 9522 
 sample_per_sec 19 ; sample_count 9522 
 sample_per_sec 19 ; sample_count 9522 
 sample_per_sec 19 ; sample_count 9522 
 sample_per_sec 19 ; sample_count 9522 
 sample_per_sec 18 ; sample_count 9522 
 sample_per_sec 18 ; sample_count 9522 
 sample_per_sec 18 ; sample_count 9522 
 sample_per_sec 18 ; sample_count 9522 
 sample_per_sec 18 ; sample_count 9522 
 sample_per_sec 18 ; sample_count 9522 
 sample_per_sec 17 ; sample_count 9522 
 sample_per_sec 17 ; sample_count 9522 
 sample_per_sec 17 ; sample_count 9522 
 sample_per_sec 17 ; sample_count 9522 
 sample_per_sec 17 ; sample_count 9522 
 sample_per_sec 17 ; sample_count 9522 
 sample_per_sec 16 ; sample_count 9522 
 sample_per_sec 16 ; sample_count 9522 
 sample_per_sec 16 ; sample_count 9522 
 sample_per_sec 16 ; sample_count 9522 
 sample_per_sec 16 ; sample_count 9522 
 sample_per_sec 16 ; sample_count 9522 
 sample_per_sec 16 ; sample_count 9522 
 sample_per_sec 17 ; sample_count 10546 
 sample_per_sec 22 ; sample_count 13618 
 sample_per_sec 27 ; sample_count 16690 
 sample_per_sec 31 ; sample_count 19013 
 sample_per_sec 30 ; sample_count 19013 
 sample_per_sec 30 ; sample_count 19013 
 sample_per_sec 30 ; sample_count 19013 
 sample_per_sec 30 ; sample_count 19013 
 sample_per_sec 29 ; sample_count 19013 
 sample_per_sec 29 ; sample_count 19013 
 sample_per_sec 29 ; sample_count 19013 
 sample_per_sec 29 ; sample_count 19013 
 sample_per_sec 28 ; sample_count 19013 
 sample_per_sec 28 ; sample_count 19013 
 sample_per_sec 28 ; sample_count 19013 
 sample_per_sec 28 ; sample_count 19013 
 sample_per_sec 28 ; sample_count 19013 
 sample_per_sec 27 ; sample_count 19013 
 sample_per_sec 27 ; sample_count 19013 
 sample_per_sec 27 ; sample_count 19013 
 sample_per_sec 27 ; sample_count 19013 
 sample_per_sec 27 ; sample_count 19013 
 sample_per_sec 26 ; sample_count 19013 
 sample_per_sec 26 ; sample_count 19013 
 sample_per_sec 26 ; sample_count 19013 
 sample_per_sec 26 ; sample_count 19013 
 sample_per_sec 26 ; sample_count 19013 
 sample_per_sec 25 ; sample_count 19013 
 sample_per_sec 25 ; sample_count 19013 
 sample_per_sec 25 ; sample_count 19013 
 sample_per_sec 25 ; sample_count 19013 
 sample_per_sec 25 ; sample_count 19013 
 sample_per_sec 25 ; sample_count 19013 
 sample_per_sec 24 ; sample_count 19013 
 sample_per_sec 24 ; sample_count 19013 
 sample_per_sec 24 ; sample_count 19013 
 sample_per_sec 24 ; sample_count 19013 
 sample_per_sec 24 ; sample_count 19013 
 sample_per_sec 24 ; sample_count 19013 
 sample_per_sec 23 ; sample_count 19013 
 sample_per_sec 23 ; sample_count 19013 
 sample_per_sec 23 ; sample_count 19013 
 sample_per_sec 23 ; sample_count 19013 
 sample_per_sec 23 ; sample_count 19013 
 sample_per_sec 23 ; sample_count 19013 
 sample_per_sec 23 ; sample_count 19013 
 sample_per_sec 22 ; sample_count 19013 
 sample_per_sec 22 ; sample_count 19013 
 sample_per_sec 22 ; sample_count 19013 
 sample_per_sec 22 ; sample_count 19013 
 sample_per_sec 22 ; sample_count 19013 
 sample_per_sec 22 ; sample_count 19013 
 sample_per_sec 22 ; sample_count 19013 
 sample_per_sec 22 ; sample_count 19013 
 sample_per_sec 21 ; sample_count 19013 
 sample_per_sec 21 ; sample_count 19013 
 sample_per_sec 21 ; sample_count 19013 
 sample_per_sec 21 ; sample_count 19013 
 sample_per_sec 21 ; sample_count 19013 
 sample_per_sec 21 ; sample_count 19013 
 sample_per_sec 21 ; sample_count 19013 
 sample_per_sec 21 ; sample_count 19013 
 sample_per_sec 20 ; sample_count 19013 
 sample_per_sec 20 ; sample_count 19013 
 sample_per_sec 20 ; sample_count 19013 
 sample_per_sec 20 ; sample_count 19013 
 sample_per_sec 20 ; sample_count 19013 
 sample_per_sec 20 ; sample_count 19013 
 sample_per_sec 20 ; sample_count 19013 
 sample_per_sec 20 ; sample_count 19013 
 sample_per_sec 20 ; sample_count 19013 
 sample_per_sec 19 ; sample_count 19013 
 sample_per_sec 19 ; sample_count 19013 
 sample_per_sec 19 ; sample_count 19013 
 sample_per_sec 19 ; sample_count 19013 
 sample_per_sec 19 ; sample_count 19013 
 sample_per_sec 19 ; sample_count 19013 
 sample_per_sec 19 ; sample_count 19013 
 sample_per_sec 19 ; sample_count 19013 
 sample_per_sec 19 ; sample_count 19013 
 sample_per_sec 19 ; sample_count 19013 
 sample_per_sec 18 ; sample_count 19013 
 sample_per_sec 18 ; sample_count 19013 
 sample_per_sec 18 ; sample_count 19013 
 sample_per_sec 18 ; sample_count 19013 
 sample_per_sec 18 ; sample_count 19013 
 sample_per_sec 18 ; sample_count 19013 
 sample_per_sec 18 ; sample_count 19013 
 sample_per_sec 18 ; sample_count 19013 
 sample_per_sec 18 ; sample_count 19013 
 sample_per_sec 18 ; sample_count 19013 
 sample_per_sec 18 ; sample_count 19013 
 sample_per_sec 17 ; sample_count 19013 
 sample_per_sec 17 ; sample_count 19013 
 sample_per_sec 17 ; sample_count 19013 
 sample_per_sec 17 ; sample_count 19013 
 ------------------------------
Starting work on task 3
------------------------------
Starting work on task 4
------------------------------
Starting work on task 5
------------------------------
Starting work on task 6
------------------------------
Starting work on task 7
------------------------------
Starting work on task 8
------------------------------
Starting work on task 9
------------------------------
Starting work on task 10
------------------------------
Starting work on task 11
sample_per_sec 17 ; sample_count 19013 
 sample_per_sec 17 ; sample_count 19013 
 sample_per_sec 17 ; sample_count 19013 
 sample_per_sec 17 ; sample_count 19013 
 sample_per_sec 17 ; sample_count 19013 
 sample_per_sec 17 ; sample_count 19013 
 sample_per_sec 17 ; sample_count 19013 
 sample_per_sec 17 ; sample_count 19013 
 sample_per_sec 16 ; sample_count 19013 
 sample_per_sec 16 ; sample_count 19013 
 sample_per_sec 16 ; sample_count 19013 
 sample_per_sec 16 ; sample_count 19013 
 sample_per_sec 16 ; sample_count 19013 
 sample_per_sec 16 ; sample_count 19013 
 sample_per_sec 17 ; sample_count 20037 
 sample_per_sec 19 ; sample_count 22085 
 sample_per_sec 20 ; sample_count 24133 
 sample_per_sec 23 ; sample_count 27205 
 sample_per_sec 24 ; sample_count 28506 
 sample_per_sec 24 ; sample_count 28506 
 sample_per_sec 24 ; sample_count 28506 
 sample_per_sec 24 ; sample_count 28506 
 sample_per_sec 23 ; sample_count 28506 
 sample_per_sec 23 ; sample_count 28506 
 sample_per_sec 23 ; sample_count 28506 
 sample_per_sec 23 ; sample_count 28506 
 sample_per_sec 23 ; sample_count 28506 
 sample_per_sec 23 ; sample_count 28506 
 sample_per_sec 23 ; sample_count 28506 
 sample_per_sec 23 ; sample_count 28506 
 sample_per_sec 23 ; sample_count 28506 
 sample_per_sec 23 ; sample_count 28506 
 sample_per_sec 23 ; sample_count 28506 
 sample_per_sec 22 ; sample_count 28506 
 sample_per_sec 22 ; sample_count 28506 
 sample_per_sec 22 ; sample_count 28506 
 sample_per_sec 22 ; sample_count 28506 
 sample_per_sec 22 ; sample_count 28506 
 sample_per_sec 22 ; sample_count 28506 
